CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Plata,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000011652,11652,CAFETERIA COLMADO NEISY,"C/RAMON MATIAS MELLA #165, VILLA MELLA.",JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,VILLA MELLA,C&B,402,YORKIS OLIVARES,YORKIS OLIVARES,CHRISTOPHER GONZALEZ,CHRISTOPHER GONZALEZ,18.554211086697,-69.8986036512587,402 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1153003195,Ultima Aprobada,Elegible,18.5542326,-69.8985754,18.5542326-69.8985754,ELEGIBLE,NO,T,T,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,2.0,Día 2,31.0,0.0,TITULAR,9000011652,,2.0,JEAN LUIS,Cargar
NO,HOME MARKET TRADICIONAL,MINIMERCADOS,Plata,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000011656,11656,S/BODEGA GENOBEBA,C/ISABEL CACERES NO.13 GENOBEBA VILLA MELLA.,JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,VILLA MELLA,TRADICIONAL,363,ELIEZER DEL VILLAR,ELIEZER DEL VILLAR,FABIEL PEÑA,FABIEL PEÑA,18.5606994628906,-69.8931537204319,363 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1153003201,Ultima Aprobada,Elegible,18.5599233,-69.8930574,18.5599233-69.8930574,ELEGIBLE,NO,T,T,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,2.0,Día 2,34.0,0.0,TITULAR,9000011656,,2.0,JEAN LUIS,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,Plata,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000013851,13851,BODEGA MABEL,"AV. LOS RESTAURADORES #91,CRUZ GRANDE.",JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO ESTE CENTRO,TRADICIONAL,406,ONATI TRONCOSO,ONATI TRONCOSO,FABIEL PEÑA,FABIEL PEÑA,18.54292107,-69.89691162,406 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1153007360,Ultima Incidencia,No Elegible,18.5419643,-69.8971521,18.5419643-69.8971521,ELEGIBLE,NO,T,T PANEL,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,3.0,Día 3,37.0,0.0,TITULAR,9000013851,,3.0,JEAN LUIS,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,Plata,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000014410,14410,COLMADO LA ROCA,"C/ PRINCIPAL ESQ. 3RA. #53, MIRADOR NORTE SEGUNDO",JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO NORTE (CENTRO),TRADICIONAL,325,STARLIN ENCARNACION,STARLIN ENCARNACION,FABIEL PEÑA,FABIEL PEÑA,18.5329957689558,-69.9453713553292,325 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1153008451,Ultima Aprobada,Elegible,18.53299027194193,-69.94534516496125,18.5329902719419-69.9453451649613,ELEGIBLE,NO,T,T PANEL,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,2.0,Día 2,23.0,0.0,TITULAR,9000014410,,2.0,JEAN LUIS,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,ORO,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000014469,14469,COLMADO EL DORADO,"MANZ. 14,EL DORADO III,VILLA MELLA.",JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO ESTE CENTRO,TRADICIONAL,322,EUGENIO PEREZ,EUGENIO PEREZ,FABIEL PEÑA,FABIEL PEÑA,18.5515348911285,-69.9243783950806,322 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1153008534,Ultima Aprobada,Elegible,18.5490049,-69.9224643,18.5490049-69.9224643,ELEGIBLE,NO,T,T PANEL,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,2.0,Día 2,18.0,0.0,TITULAR,9000014469,,2.0,JEAN LUIS,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,Bronce,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000014492,14492,COLMADO VISTA BELLA,"C/PRINCIPAL ESQ.8,VISTA BELLA",JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO ESTE CENTRO,TRADICIONAL,363,ELIEZER DEL VILLAR,ELIEZER DEL VILLAR,FABIEL PEÑA,FABIEL PEÑA,18.5546488761902,-69.9025964736938,363 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1153008558,Ultima Aprobada,Elegible,18.55463180780925,-69.90251768258531,18.5546318078093-69.9025176825853,ELEGIBLE,NO,T,T PANEL,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,2.0,Día 2,29.0,0.0,TITULAR,9000014492,,2.0,JEAN LUIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000014742,14742,COLMADO MODELO,PLAZA CIUDAD MODELO EN LA BOMBA SHELL,JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO ESTE CENTRO,TRADICIONAL,325,STARLIN ENCARNACION,STARLIN ENCARNACION,FABIEL PEÑA,FABIEL PEÑA,18.55406189,-69.9436264,325 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1153008959,Ultima Aprobada,Elegible,18.5541211,-69.9437005,18.5541211-69.9437005,ELEGIBLE,NO,T,T,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,2.0,Día 2,25.0,0.0,TITULAR,9000014742,,2.0,JEAN LUIS,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,Plata,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000061145,61145,COLMADO LA VECINDAD,PROFESOR JUAN BOSH,JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO NORTE (CENTRO),TRADICIONAL,362,STARLIN FLORENTINO,STARLIN FLORENTINO,FABIEL PEÑA,FABIEL PEÑA,18.5417242050171,-69.884786605835,362 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1153011715,Ultima Aprobada,Elegible,18.54171915516786,-69.88478344103106,18.5417191551679-69.8847834410311,ELEGIBLE,NO,T,T PANEL,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,3.0,Día 3,40.0,0.0,TITULAR,9000061145,,3.0,JEAN LUIS,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,Plata,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000061336,61336,COLMADO CRISMEILI,ROMON MATIAS MELLA,JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO NORTE (CENTRO),TRADICIONAL,363,ELIEZER DEL VILLAR,ELIEZER DEL VILLAR,FABIEL PEÑA,FABIEL PEÑA,18.5530786514282,-69.8996429443359,363 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1153011754,Ultima Aprobada,Elegible,18.553075,-69.89957833333332,18.553075-69.8995783333333,ELEGIBLE,NO,T,T PANEL,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,2.0,Día 2,30.0,0.0,TITULAR,9000061336,,2.0,JEAN LUIS,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,Plata,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000072081,72081,COLMADO ALEGRIA,16 ESQ 24,JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO NORTE (CENTRO),TRADICIONAL,364,JORVIN GOMEZ,JORVIN GOMEZ,FABIEL PEÑA,FABIEL PEÑA,18.5474004745483,-69.8564367294312,364 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1153012452,Ultima Aprobada,Elegible,18.54741482790205,-69.856484828294,18.547414827902-69.856484828294,ELEGIBLE,NO,T,T PANEL,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,3.0,Día 3,48.0,0.0,TITULAR,9000072081,,3.0,JEAN LUIS,Cargar
